,Series Name,Period,Frequency,Value,Units
0,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",202103,M,557,Thousand Barrels per Day
1,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",202102,M,580,Thousand Barrels per Day
2,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",202101,M,559,Thousand Barrels per Day
3,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",202012,M,547,Thousand Barrels per Day
4,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",202011,M,552,Thousand Barrels per Day
5,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",202010,M,532,Thousand Barrels per Day
6,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",202009,M,586,Thousand Barrels per Day
7,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",202008,M,595,Thousand Barrels per Day
8,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",202007,M,611,Thousand Barrels per Day
9,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",202006,M,575,Thousand Barrels per Day
10,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",202005,M,486,Thousand Barrels per Day
11,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",202004,M,441,Thousand Barrels per Day
12,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",202003,M,551,Thousand Barrels per Day
13,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",202002,M,623,Thousand Barrels per Day
14,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",202001,M,623,Thousand Barrels per Day
15,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201912,M,646,Thousand Barrels per Day
16,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201911,M,591,Thousand Barrels per Day
