,Period_Monthly_Frequency,PADD1_value_in_Thousand_Barrels_per_Day,PAAD2_value_in_Thousand_Barrels_per_Day,PAAD3_value_in_Thousand_Barrels_per_Day,PAAD4_value_in_Thousand_Barrels_per_Day,PAAD5_value_in_Thousand_Barrels_per_Day
0,202103,677,3617,7512,557,2020
1,202102,592,3297,6042,580,1863
2,202101,597,3628,7919,559,1822
3,202012,592,3427,7751,547,1823
4,202011,591,3503,7601,552,1878
5,202010,570,3432,7049,532,1863
6,202009,548,3507,7000,586,1932
7,202008,599,3665,7377,595,1916
8,202007,523,3594,7765,611,1844
9,202006,606,3322,7477,575,1752
10,202005,598,3091,7130,486,1654
11,202004,527,2914,7238,441,1667
12,202003,637,3440,8443,551,2155
13,202002,689,3753,8393,623,2408
14,202001,767,3792,8792,623,2257
15,201912,804,3927,9001,646,2415
16,201911,799,3823,8856,591,2413
17,201910,730,3653,8339,544,2414
18,201909,819,3888,8701,639,2356
19,201908,846,4106,9103,692,2550
20,201907,887,4083,9006,687,2511
21,201906,1035,3917,9126,677,2481
22,201905,1087,3530,9061,659,2382
23,201904,1029,3743,8792,569,2208
24,201903,913,3535,8520,608,2359
25,201902,776,3527,8591,605,2348
26,201901,1013,3879,8858,633,2400
27,201812,1048,3931,9375,613,2443
28,201811,1008,3820,9251,579,2504
29,201810,922,3240,9229,636,2385
30,201809,1003,3647,9126,656,2558
31,201808,1068,3995,9350,609,2601
32,201807,1139,3892,9088,642,2596
33,201806,1128,3979,9273,649,2637
34,201805,1157,4045,8862,586,2319
35,201804,1110,3905,8866,574,2311
36,201803,920,3706,8871,615,2554
37,201802,968,3638,8294,655,2382
38,201801,1068,3736,8772,630,2393
39,201712,1116,3818,9220,597,2523
40,201711,1160,3735,8947,582,2415
41,201710,1096,3411,8656,624,2274
42,201709,1106,3699,7437,671,2548
43,201708,1140,3981,8611,656,2593
44,201707,1078,3859,9226,650,2503
45,201706,1129,3910,9181,611,2373
46,201705,1111,3819,9297,617,2379
47,201704,1062,3801,8925,648,2519
48,201703,891,3698,8502,606,2351
49,201702,902,3628,8178,590,2194
50,201701,1050,3722,8387,613,2346
51,201612,1063,3714,8879,602,2258
52,201611,1118,3674,8650,626,2167
53,201610,1091,3577,8108,592,2086
54,201609,1108,3624,8497,644,2467
55,201608,1098,3746,8605,612,2533
56,201607,1061,3723,8719,631,2486
57,201606,1126,3683,8579,647,2399
58,201605,1184,3607,8565,575,2306
59,201604,1158,3334,8468,514,2447
60,201603,1061,3409,8643,583,2387
61,201602,1093,3627,8269,575,2279
62,201601,1137,3724,8146,575,2370
63,201512,1145,3661,8973,600,2362
64,201511,1201,3553,8667,604,2433
65,201510,1143,3010,8281,605,2401
66,201509,1072,3483,8487,601,2524
67,201508,1200,3638,8681,619,2563
68,201507,1181,3815,8732,624,2526
69,201506,1167,3705,8814,615,2400
70,201505,1162,3674,8685,601,2279
71,201504,1130,3700,8588,599,2256
72,201503,1078,3513,8172,565,2312
73,201502,871,3562,8025,615,2269
74,201501,1087,3429,8012,577,2350
75,201412,1080,3685,8601,607,2497
76,201411,1111,3466,8429,612,2426
77,201410,1131,3283,8013,559,2376
78,201409,1156,3571,8357,626,2364
79,201408,1082,3574,8689,638,2476
80,201407,1135,3717,8598,569,2516
81,201406,1179,3662,8092,557,2328
82,201405,1148,3594,8245,594,2364
83,201404,1073,3482,8342,562,2405
84,201403,1014,3219,7907,567,2410
85,201402,979,3538,7773,510,2328
86,201401,955,3485,7974,569,2327
87,201312,1067,3556,8439,574,2433
88,201311,956,3569,8187,580,2341
89,201310,888,3464,7658,574,2408
90,201309,1084,3416,8106,587,2443
91,201308,1073,3532,8138,615,2436
92,201307,1085,3574,8431,584,2369
93,201306,1134,3357,8300,587,2456
94,201305,1134,3137,8173,541,2319
95,201304,1083,3188,7820,562,2211
96,201303,1019,3270,7623,582,2210
97,201302,879,3396,7111,575,2269
98,201301,1043,3405,7376,578,2165
99,201212,971,3445,8094,601,2219
100,201211,904,3319,8069,565,2228
101,201210,1003,3334,7697,528,2282
102,201209,950,3372,7634,562,2393
103,201208,944,3527,7765,601,2489
104,201207,962,3499,8036,606,2562
105,201206,939,3466,8044,612,2575
106,201205,845,3481,7878,537,2357
107,201204,919,3527,7496,528,2139
108,201203,904,3376,7493,573,2131
109,201202,857,3467,7428,581,2281
110,201201,824,3492,7169,577,2312
111,201112,935,3522,7484,562,2340
112,201111,1102,3422,7650,567,2219
113,201110,1131,3344,7347,559,2188
114,201109,1237,3459,7569,504,2505
115,201108,1223,3360,7900,551,2521
116,201107,1286,3478,7688,547,2591
117,201106,1117,3469,7673,576,2459
118,201105,1149,3309,7462,567,2232
119,201104,928,3241,7259,494,2309
120,201103,971,3241,7313,533,2393
121,201102,1010,3306,6586,553,2222
122,201101,1061,3306,7364,525,2166
123,201012,1038,3320,7711,527,2380
124,201011,940,3244,7535,548,2370
125,201010,845,3063,7224,536,2333
126,201009,1093,3312,7368,595,2372
127,201008,1215,3434,7593,543,2324
128,201007,1241,3457,7814,572,2435
129,201006,1243,3442,7707,572,2417
130,201005,1260,3410,7680,527,2338
131,201004,1214,3133,7817,537,2430
132,201003,1085,3084,7324,488,2332
133,201002,1181,3276,6709,520,2265
134,201001,1069,3199,6667,519,2212
135,200912,1094,3152,6862,476,2400
136,200911,1163,3014,6919,545,2257
137,200910,1324,2968,6928,536,2340
138,200909,1336,3175,7183,561,2456
139,200908,1316,3168,7277,570,2262
140,200907,1348,3287,7073,567,2361
141,200906,1352,3298,7127,571,2501
142,200905,1261,3213,7026,552,2431
143,200904,1156,3108,7239,497,2382
144,200903,1154,2955,7080,513,2417
145,200902,1252,3165,6740,553,2424
146,200901,1355,3126,6767,538,2359
147,200812,1282,3130,6994,518,2429
148,200811,1346,3259,6892,540,2569
149,200810,1494,3191,6790,538,2540
150,200809,1456,3213,4890,543,2658
151,200808,1464,3251,7019,540,2673
152,200807,1437,3284,7367,516,2652
153,200806,1446,3359,7369,538,2705
154,200805,1427,3376,7401,563,2496
155,200804,1400,3248,7165,540,2445
156,200803,1325,2943,7007,527,2561
157,200802,1442,3188,6934,538,2522
158,200801,1536,3213,6924,534,2596
159,200712,1537,3224,7278,535,2628
160,200711,1584,3106,7299,539,2622
161,200710,1591,3063,7261,520,2498
162,200709,1547,3222,7277,539,2642
163,200708,1507,3308,7571,554,2745
164,200707,1551,3203,7675,589,2652
165,200706,1547,3237,7324,572,2567
166,200705,1586,3311,7253,513,2718
167,200704,1465,3309,7187,517,2568
168,200703,1351,3217,7478,534,2260
169,200702,1373,3219,6991,552,2300
170,200701,1511,3296,7144,543,2498
171,200612,1505,3300,7405,527,2616
172,200611,1538,3187,7280,579,2425
173,200610,1549,3148,7260,536,2515
174,200609,1638,3326,7523,568,2685
175,200608,1577,3456,7467,586,2707
176,200607,1457,3328,7586,584,2747
177,200606,1513,3457,7527,579,2767
178,200605,1469,3373,7393,575,2706
179,200604,1415,3252,7111,548,2601
180,200603,1490,3123,6964,477,2528
181,200602,1465,3232,6831,511,2542
182,200601,1526,3372,6740,564,2603
183,200512,1543,3270,6955,541,2737
184,200511,1666,3331,6741,536,2758
185,200510,1642,3304,5572,574,2554
186,200509,1719,3374,5585,579,2729
187,200508,1616,3283,7519,586,2659
188,200507,1674,3385,7519,583,2689
189,200506,1645,3444,7953,575,2785
190,200505,1701,3453,7608,580,2563
191,200504,1640,3223,7532,533,2565
192,200503,1614,2985,7518,531,2567
193,200502,1540,3221,7402,532,2446
194,200501,1521,3304,7289,546,2595
195,200412,1555,3355,7677,556,2606
196,200411,1594,3320,7586,553,2613
197,200410,1504,3264,7194,568,2411
198,200409,1395,3241,7155,576,2613
199,200408,1663,3380,7787,581,2732
200,200407,1679,3397,7772,583,2711
201,200406,1670,3482,7817,569,2701
202,200405,1613,3454,7784,588,2553
203,200404,1624,3276,7480,535,2627
204,200403,1674,2891,7146,537,2538
205,200402,1693,3222,6767,504,2520
206,200401,1506,3179,7057,515,2525
207,200312,1593,3052,7523,535,2640
208,200311,1489,3276,7481,539,2670
209,200310,1626,3142,7376,535,2663
210,200309,1649,3104,7433,569,2692
211,200308,1635,3305,7448,563,2742
212,200307,1650,3290,7327,558,2722
213,200306,1676,3429,7303,560,2652
214,200305,1688,3421,7671,456,2674
215,200304,1647,3211,7581,470,2666
216,200303,1637,3085,7188,502,2521
217,200302,1489,3107,6863,523,2399
218,200301,1469,3118,6762,522,2466
219,200212,1532,3057,7285,507,2520
220,200211,1553,3171,7369,520,2542
221,200210,1541,2943,6728,529,2561
222,200209,1527,3314,6763,551,2707
223,200208,1564,3376,7117,558,2722
224,200207,1601,3405,7167,540,2717
225,200206,1585,3438,7215,550,2609
226,200205,1623,3319,7262,503,2594
227,200204,1599,3345,7225,489,2668
228,200203,1534,2998,6965,478,2551
229,200202,1474,3101,6996,512,2224
230,200201,1353,3062,7206,498,2367
231,200112,1326,3134,7279,496,2453
232,200111,1562,3009,7338,513,2580
233,200110,1461,3134,7314,500,2593
234,200109,1415,3244,7286,531,2528
235,200108,1385,3370,7357,529,2617
236,200107,1537,3414,7201,529,2687
237,200106,1530,3509,7404,537,2669
238,200105,1643,3460,7564,477,2619
239,200104,1541,3461,7571,467,2496
240,200103,1430,3240,6979,442,2558
241,200102,1623,3274,6986,488,2443
242,200101,1553,3388,7051,488,2309
243,200012,1515,3330,7368,490,2530
244,200011,1582,3336,7232,499,2374
245,200010,1568,3311,7204,515,2432
246,200009,1555,3483,7280,513,2577
247,200008,1680,3474,7344,533,2609
248,200007,1650,3556,7436,538,2639
249,200006,1613,3637,7270,532,2591
250,200005,1599,3547,7284,512,2552
251,200004,1602,3405,7061,473,2511
252,200003,1635,3160,6971,462,2384
253,200002,1551,3103,6663,489,2223
254,200001,1309,3132,6527,500,2311
255,199912,1450,3129,6899,489,2444
256,199911,1488,3272,6973,495,2476
257,199910,1522,3295,6874,513,2386
258,199909,1549,3355,7175,524,2505
259,199908,1645,3526,7051,538,2539
260,199907,1586,3470,7102,531,2548
261,199906,1577,3485,7058,521,2318
262,199905,1611,3478,7109,500,2275
263,199904,1555,3382,7255,453,2448
264,199903,1474,3083,7111,457,2373
265,199902,1529,3241,6789,480,2271
266,199901,1585,3248,6735,477,2397
267,199812,1541,3320,7094,470,2416
268,199811,1671,3342,6829,472,2458
269,199810,1305,3269,6413,489,2518
270,199809,1561,3267,6858,505,2661
271,199808,1636,3489,7455,510,2627
272,199807,1616,3519,7367,490,2562
273,199806,1630,3516,7270,513,2556
274,199805,1618,3436,7194,470,2603
275,199804,1628,3323,7168,446,2521
276,199803,1568,3225,6928,429,2489
277,199802,1553,3360,6309,481,2320
278,199801,1511,3387,6546,483,2393
279,199712,1459,3379,7068,487,2534
280,199711,1495,3323,6995,468,2423
281,199710,1604,3372,6902,492,2484
282,199709,1626,3513,7114,503,2552
283,199708,1574,3526,7017,505,2649
284,199707,1565,3426,6886,508,2609
285,199706,1574,3517,7008,503,2568
286,199705,1568,3470,6991,483,2611
287,199704,1406,3113,6796,427,2561
288,199703,1349,3096,6679,443,2479
289,199702,1345,3245,6183,458,2254
290,199701,1224,3212,6451,467,2310
291,199612,1336,3214,6732,455,2449
292,199611,1313,3289,6675,473,2454
293,199610,1326,3242,6664,477,2566
294,199609,1418,3316,6670,499,2581
295,199608,1385,3378,6694,494,2473
296,199607,1350,3359,6685,495,2468
297,199606,1318,3393,6838,496,2523
298,199605,1360,3298,6798,467,2515
299,199604,1319,3242,6802,458,2474
300,199603,1223,3160,6450,451,2510
301,199602,1248,3057,6329,426,2504
302,199601,1367,3095,6355,438,2473
303,199512,1420,3138,6512,431,2510
304,199511,1475,3113,6416,466,2364
305,199510,1399,3094,6248,422,2435
306,199509,1555,3330,6563,453,2501
307,199508,1586,3271,6339,476,2605
308,199507,1574,3287,6480,491,2571
309,199506,1539,3310,6648,494,2561
310,199505,1454,3173,6532,478,2666
311,199504,1430,3151,6417,430,2390
312,199503,1507,2903,6297,454,2319
313,199502,1459,3026,6083,444,2353
314,199501,1344,3203,6206,452,2400
315,199412,1352,3138,6445,452,2563
316,199411,1475,3135,6343,451,2564
317,199410,1355,2999,6168,454,2552
318,199409,1373,3257,6587,481,2537
319,199408,1416,3261,6679,470,2665
320,199407,1434,3246,6523,478,2662
321,199406,1470,3309,6491,486,2595
322,199405,1422,3277,6568,469,2537
323,199404,1263,3256,6396,430,2464
324,199403,1195,2974,6009,414,2393
325,199402,1376,3100,5927,445,2282
326,199401,1252,3000,6085,448,2502
327,199312,1305,3085,6212,446,2523
328,199311,1419,3200,6121,459,2486
329,199310,1507,3196,6070,452,2504
330,199309,1438,3167,6148,479,2609
331,199308,1367,3173,6232,472,2600
332,199307,1442,3241,6327,467,2659
333,199306,1467,3305,6278,478,2602
334,199305,1441,3144,6169,454,2620
335,199304,1402,3015,6152,398,2571
336,199303,1127,3071,6036,439,2527
337,199302,1115,3008,5988,406,2348
338,199301,1239,3056,5944,413,2285
339,199212,1231,3017,6086,429,2430
340,199211,1299,3087,6232,428,2501
341,199210,1360,3108,6146,440,2530
342,199209,1296,3204,6183,455,2576
343,199208,1213,3253,5924,448,2589
344,199207,1349,3242,6248,471,2644
345,199206,1405,3226,6360,437,2632
346,199205,1314,3229,6145,432,2559
347,199204,1307,2917,6118,413,2505
348,199203,1165,2978,6053,446,2442
349,199202,1160,3038,5523,402,2363
350,199201,1173,3012,5812,410,2517
351,199112,1242,3063,6193,423,2544
352,199111,1161,2895,5929,457,2487
353,199110,1086,2999,5924,474,2414
354,199109,1341,3202,6066,461,2623
355,199108,1320,3113,6255,496,2617
356,199107,1332,3222,6065,486,2598
357,199106,1334,3191,6134,483,2777
358,199105,1273,3152,5971,461,2681
359,199104,1184,2980,5829,428,2620
360,199103,1242,2968,5795,454,2379
361,199102,1219,2945,5918,433,2531
362,199101,1158,2844,5836,405,2491
363,199012,1083,2878,5828,427,2492
364,199011,1139,2871,5949,436,2558
365,199010,1192,2906,5841,437,2450
366,199009,1420,3244,6182,489,2768
367,199008,1285,3222,6355,508,2771
368,199007,1441,3218,6448,498,2607
369,199006,1317,3166,6286,493,2426
370,199005,1255,3001,6191,490,2448
371,199004,1186,2909,5938,432,2585
372,199003,1289,2836,5667,423,2660
373,199002,1409,2969,6027,441,2641
374,199001,1404,2924,6007,441,2716
375,198912,1347,2960,5826,460,2572
376,198911,1332,2768,6248,468,2603
377,198910,1372,2645,6252,446,2645
378,198909,1391,3015,6260,494,2630
379,198908,1368,3103,6211,499,2679
380,198907,1350,3071,6237,490,2700
381,198906,1342,3035,6334,495,2700
382,198905,1044,2812,6388,475,2685
383,198904,1069,2727,6182,412,2566
384,198903,1236,2857,6007,413,2451
385,198902,1290,2920,5802,412,2340
386,198901,1309,2932,6071,431,2587
387,198812,1309,2968,6014,443,2647
388,198811,1232,2880,6018,442,2585
389,198810,1272,2845,6092,418,2499
390,198809,1363,2964,5818,470,2645
391,198808,1405,3100,6144,498,2605
392,198807,1405,3015,6078,488,2631
393,198806,1331,2988,6038,494,2635
394,198805,1249,2936,6149,483,2607
395,198804,1131,2887,6074,430,2612
396,198803,1256,2870,5979,406,2506
397,198802,1304,2786,5728,425,2401
398,198801,1314,2750,5938,421,2497
399,198712,1320,2829,6124,431,2508
400,198711,1223,2868,6032,438,2420
401,198710,1198,2811,5922,437,2365
402,198709,1274,2934,5933,461,2567
403,198708,1369,3000,5972,480,2558
404,198707,1354,2967,6072,476,2561
405,198706,1385,2889,5974,455,2499
406,198705,1272,2785,5612,431,2553
407,198704,1255,2866,5377,430,2583
408,198703,1113,2676,5551,361,2380
409,198702,1150,2723,5549,418,2450
410,198701,1099,2771,5925,419,2355
411,198612,1224,2851,5989,423,2291
412,198611,1203,2893,5935,432,2368
413,198610,1281,2771,5760,427,2397
414,198609,1311,2841,6063,444,2438
415,198608,1332,3001,6041,465,2447
416,198607,1290,2924,5807,473,2423
417,198606,1338,2932,6071,471,2449
418,198605,1283,2886,6223,450,2437
419,198604,1104,2720,5870,421,2398
420,198603,1092,2649,5216,377,2318
421,198602,1082,2612,5606,374,2243
422,198601,1128,2769,5693,409,2374
423,198512,1192,2756,5895,419,2308
424,198511,1144,2835,5722,428,2281
425,198510,1198,2745,5542,438,2286
426,198509,1107,2795,5267,454,2300
427,198508,1186,2924,5234,481,2222
428,198507,1196,2883,5542,460,2364
429,198506,1226,2882,5404,469,2310
430,198505,1152,2703,5519,471,2248
431,198504,1148,2647,5389,339,2282
432,198503,1106,2499,5160,402,2204
433,198502,1095,2536,5234,396,2105
434,198501,1079,2649,5142,420,2153
435,198412,1205,2721,5222,436,2171
436,198411,1181,2677,5599,439,2211
437,198410,1078,2478,5704,438,2280
438,198409,1169,2835,5547,442,2279
439,198408,1228,2865,5566,452,2235
440,198407,1158,2881,5357,461,2171
441,198406,1180,2974,5375,456,2271
442,198405,1130,2743,5618,456,2299
443,198404,813,2697,5687,426,2267
444,198403,1035,2817,5549,414,2113
445,198402,1057,2799,5791,403,2106
446,198401,1032,2652,5436,403,2064
447,198312,923,2694,5060,408,2150
448,198311,907,2832,5714,438,2112
449,198310,988,2718,5547,442,2086
450,198309,1174,2874,5868,454,2112
451,198308,1181,2950,5404,459,2158
452,198307,1121,2852,5628,464,2296
453,198306,1096,2830,5630,443,2284
454,198305,1076,2654,5497,424,2150
455,198304,1062,2721,5312,376,1964
456,198303,894,2576,5140,366,1883
457,198302,967,2562,4727,360,2017
458,198301,1055,2680,5025,400,1983
459,198212,1132,2716,5185,447,2035
460,198211,1181,2644,5488,428,1983
461,198210,1111,2621,5655,427,1935
462,198209,1171,2924,5522,442,2087
463,198208,1150,2837,5375,452,2056
464,198207,1291,3029,5643,446,2037
465,198206,1349,3001,5649,436,2060
466,198205,1092,2755,5525,378,2056
467,198204,1173,2668,5164,357,2030
468,198203,1201,2648,5065,384,1978
469,198202,1240,2730,4903,380,1984
470,198201,1273,2762,5147,412,2005
471,198112,1314,2977,5521,451,2087
472,198111,1375,2932,5292,463,2178
473,198110,1337,2860,5321,391,2149
474,198109,1293,3014,5561,441,2196
475,198108,1374,3062,5761,457,2254
476,198107,1289,2873,5500,454,2145
477,198106,1281,2808,5601,448,2276
478,198105,1140,2870,5774,403,2122
