East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil Monthly
https://www.eia.gov/opendata/qb.php?sdid=PET.MCRRIP12.M
21:52:07 GMT+0530 (India Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.MCRRIP12.M Thousand Barrels per Day
Mar 2021,677
Feb 2021,592
Jan 2021,597
Dec 2020,592
Nov 2020,591
Oct 2020,570
Sep 2020,548
Aug 2020,599
Jul 2020,523
Jun 2020,606
May 2020,598
Apr 2020,527
Mar 2020,637
Feb 2020,689
Jan 2020,767
Dec 2019,804
Nov 2019,799
Oct 2019,730
Sep 2019,819
Aug 2019,846
Jul 2019,887
Jun 2019,1035
May 2019,1087
Apr 2019,1029
Mar 2019,913
Feb 2019,776
Jan 2019,1013
Dec 2018,1048
Nov 2018,1008
Oct 2018,922
Sep 2018,1003
Aug 2018,1068
Jul 2018,1139
Jun 2018,1128
May 2018,1157
Apr 2018,1110
Mar 2018,920
Feb 2018,968
Jan 2018,1068
Dec 2017,1116
Nov 2017,1160
Oct 2017,1096
Sep 2017,1106
Aug 2017,1140
Jul 2017,1078
Jun 2017,1129
May 2017,1111
Apr 2017,1062
Mar 2017,891
Feb 2017,902
Jan 2017,1050
Dec 2016,1063
Nov 2016,1118
Oct 2016,1091
Sep 2016,1108
Aug 2016,1098
Jul 2016,1061
Jun 2016,1126
May 2016,1184
Apr 2016,1158
Mar 2016,1061
Feb 2016,1093
Jan 2016,1137
Dec 2015,1145
Nov 2015,1201
Oct 2015,1143
Sep 2015,1072
Aug 2015,1200
Jul 2015,1181
Jun 2015,1167
May 2015,1162
Apr 2015,1130
Mar 2015,1078
Feb 2015,871
Jan 2015,1087
Dec 2014,1080
Nov 2014,1111
Oct 2014,1131
Sep 2014,1156
Aug 2014,1082
Jul 2014,1135
Jun 2014,1179
May 2014,1148
Apr 2014,1073
Mar 2014,1014
Feb 2014,979
Jan 2014,955
Dec 2013,1067
Nov 2013,956
Oct 2013,888
Sep 2013,1084
Aug 2013,1073
Jul 2013,1085
Jun 2013,1134
May 2013,1134
Apr 2013,1083
Mar 2013,1019
Feb 2013,879
Jan 2013,1043
Dec 2012,971
Nov 2012,904
Oct 2012,1003
Sep 2012,950
Aug 2012,944
Jul 2012,962
Jun 2012,939
May 2012,845
Apr 2012,919
Mar 2012,904
Feb 2012,857
Jan 2012,824
Dec 2011,935
Nov 2011,1102
Oct 2011,1131
Sep 2011,1237
Aug 2011,1223
Jul 2011,1286
Jun 2011,1117
May 2011,1149
Apr 2011,928
Mar 2011,971
Feb 2011,1010
Jan 2011,1061
Dec 2010,1038
Nov 2010,940
Oct 2010,845
Sep 2010,1093
Aug 2010,1215
Jul 2010,1241
Jun 2010,1243
May 2010,1260
Apr 2010,1214
Mar 2010,1085
Feb 2010,1181
Jan 2010,1069
Dec 2009,1094
Nov 2009,1163
Oct 2009,1324
Sep 2009,1336
Aug 2009,1316
Jul 2009,1348
Jun 2009,1352
May 2009,1261
Apr 2009,1156
Mar 2009,1154
Feb 2009,1252
Jan 2009,1355
Dec 2008,1282
Nov 2008,1346
Oct 2008,1494
Sep 2008,1456
Aug 2008,1464
Jul 2008,1437
Jun 2008,1446
May 2008,1427
Apr 2008,1400
Mar 2008,1325
Feb 2008,1442
Jan 2008,1536
Dec 2007,1537
Nov 2007,1584
Oct 2007,1591
Sep 2007,1547
Aug 2007,1507
Jul 2007,1551
Jun 2007,1547
May 2007,1586
Apr 2007,1465
