Gulf Coast (PADD 3) Refinery and Blender Net Input of Crude Oil Monthly
https://www.eia.gov/opendata/qb.php?sdid=PET.MCRRIP32.M
22:11:44 GMT+0530 (India Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.MCRRIP32.M Thousand Barrels per Day
Mar 2021,7512
Feb 2021,6042
Jan 2021,7919
Dec 2020,7751
Nov 2020,7601
Oct 2020,7049
Sep 2020,7000
Aug 2020,7377
Jul 2020,7765
Jun 2020,7477
May 2020,7130
Apr 2020,7238
Mar 2020,8443
Feb 2020,8393
Jan 2020,8792
Dec 2019,9001
Nov 2019,8856
Oct 2019,8339
Sep 2019,8701
Aug 2019,9103
Jul 2019,9006
Jun 2019,9126
May 2019,9061
Apr 2019,8792
Mar 2019,8520
Feb 2019,8591
Jan 2019,8858
Dec 2018,9375
Nov 2018,9251
Oct 2018,9229
Sep 2018,9126
Aug 2018,9350
Jul 2018,9088
Jun 2018,9273
May 2018,8862
Apr 2018,8866
Mar 2018,8871
Feb 2018,8294
Jan 2018,8772
Dec 2017,9220
Nov 2017,8947
Oct 2017,8656
Sep 2017,7437
Aug 2017,8611
Jul 2017,9226
Jun 2017,9181
May 2017,9297
Apr 2017,8925
Mar 2017,8502
Feb 2017,8178
Jan 2017,8387
Dec 2016,8879
Nov 2016,8650
Oct 2016,8108
Sep 2016,8497
Aug 2016,8605
Jul 2016,8719
Jun 2016,8579
May 2016,8565
Apr 2016,8468
Mar 2016,8643
Feb 2016,8269
Jan 2016,8146
Dec 2015,8973
Nov 2015,8667
Oct 2015,8281
Sep 2015,8487
Aug 2015,8681
Jul 2015,8732
Jun 2015,8814
May 2015,8685
Apr 2015,8588
Mar 2015,8172
Feb 2015,8025
Jan 2015,8012
Dec 2014,8601
Nov 2014,8429
Oct 2014,8013
Sep 2014,8357
Aug 2014,8689
Jul 2014,8598
Jun 2014,8092
May 2014,8245
Apr 2014,8342
Mar 2014,7907
Feb 2014,7773
Jan 2014,7974
Dec 2013,8439
Nov 2013,8187
Oct 2013,7658
Sep 2013,8106
Aug 2013,8138
Jul 2013,8431
Jun 2013,8300
May 2013,8173
Apr 2013,7820
Mar 2013,7623
Feb 2013,7111
Jan 2013,7376
Dec 2012,8094
Nov 2012,8069
Oct 2012,7697
Sep 2012,7634
Aug 2012,7765
Jul 2012,8036
Jun 2012,8044
May 2012,7878
Apr 2012,7496
Mar 2012,7493
Feb 2012,7428
Jan 2012,7169
Dec 2011,7484
Nov 2011,7650
Oct 2011,7347
Sep 2011,7569
Aug 2011,7900
Jul 2011,7688
Jun 2011,7673
May 2011,7462
Apr 2011,7259
Mar 2011,7313
Feb 2011,6586
Jan 2011,7364
Dec 2010,7711
Nov 2010,7535
Oct 2010,7224
Sep 2010,7368
Aug 2010,7593
Jul 2010,7814
Jun 2010,7707
May 2010,7680
Apr 2010,7817
Mar 2010,7324
Feb 2010,6709
Jan 2010,6667
Dec 2009,6862
Nov 2009,6919
Oct 2009,6928
Sep 2009,7183
Aug 2009,7277
Jul 2009,7073
Jun 2009,7127
May 2009,7026
Apr 2009,7239
Mar 2009,7080
Feb 2009,6740
Jan 2009,6767
Dec 2008,6994
Nov 2008,6892
Oct 2008,6790
Sep 2008,4890
Aug 2008,7019
Jul 2008,7367
Jun 2008,7369
May 2008,7401
Apr 2008,7165
Mar 2008,7007
Feb 2008,6934
Jan 2008,6924
Dec 2007,7278
Nov 2007,7299
Oct 2007,7261
Sep 2007,7277
Aug 2007,7571
Jul 2007,7675
Jun 2007,7324
May 2007,7253
Apr 2007,7187
Mar 2007,7478
Feb 2007,6991
Jan 2007,7144
Dec 2006,7405
Nov 2006,7280
Oct 2006,7260
Sep 2006,7523
Aug 2006,7467
Jul 2006,7586
Jun 2006,7527
May 2006,7393
Apr 2006,7111
Mar 2006,6964
Feb 2006,6831
Jan 2006,6740
Dec 2005,6955
Nov 2005,6741
Oct 2005,5572
Sep 2005,5585
Aug 2005,7519
Jul 2005,7519
Jun 2005,7953
May 2005,7608
Apr 2005,7532
Mar 2005,7518
Feb 2005,7402
Jan 2005,7289
Dec 2004,7677
Nov 2004,7586
Oct 2004,7194
Sep 2004,7155
Aug 2004,7787
Jul 2004,7772
Jun 2004,7817
May 2004,7784
Apr 2004,7480
Mar 2004,7146
Feb 2004,6767
Jan 2004,7057
Dec 2003,7523
Nov 2003,7481
Oct 2003,7376
Sep 2003,7433
Aug 2003,7448
Jul 2003,7327
Jun 2003,7303
May 2003,7671
Apr 2003,7581
Mar 2003,7188
Feb 2003,6863
Jan 2003,6762
Dec 2002,7285
Nov 2002,7369
Oct 2002,6728
Sep 2002,6763
Aug 2002,7117
Jul 2002,7167
Jun 2002,7215
May 2002,7262
Apr 2002,7225
Mar 2002,6965
Feb 2002,6996
Jan 2002,7206
Dec 2001,7279
Nov 2001,7338
Oct 2001,7314
Sep 2001,7286
Aug 2001,7357
Jul 2001,7201
Jun 2001,7404
May 2001,7564
Apr 2001,7571
Mar 2001,6979
Feb 2001,6986
Jan 2001,7051
Dec 2000,7368
Nov 2000,7232
Oct 2000,7204
Sep 2000,7280
Aug 2000,7344
Jul 2000,7436
Jun 2000,7270
May 2000,7284
Apr 2000,7061
Mar 2000,6971
Feb 2000,6663
Jan 2000,6527
Dec 1999,6899
Nov 1999,6973
Oct 1999,6874
Sep 1999,7175
Aug 1999,7051
Jul 1999,7102
Jun 1999,7058
May 1999,7109
Apr 1999,7255
Mar 1999,7111
Feb 1999,6789
Jan 1999,6735
Dec 1998,7094
Nov 1998,6829
Oct 1998,6413
Sep 1998,6858
Aug 1998,7455
Jul 1998,7367
Jun 1998,7270
May 1998,7194
Apr 1998,7168
Mar 1998,6928
Feb 1998,6309
Jan 1998,6546
Dec 1997,7068
Nov 1997,6995
Oct 1997,6902
Sep 1997,7114
Aug 1997,7017
Jul 1997,6886
Jun 1997,7008
May 1997,6991
Apr 1997,6796
Mar 1997,6679
Feb 1997,6183
Jan 1997,6451
Dec 1996,6732
Nov 1996,6675
Oct 1996,6664
Sep 1996,6670
Aug 1996,6694
Jul 1996,6685
Jun 1996,6838
May 1996,6798
Apr 1996,6802
Mar 1996,6450
Feb 1996,6329
Jan 1996,6355
Dec 1995,6512
Nov 1995,6416
Oct 1995,6248
Sep 1995,6563
Aug 1995,6339
Jul 1995,6480
Jun 1995,6648
May 1995,6532
Apr 1995,6417
Mar 1995,6297
Feb 1995,6083
Jan 1995,6206
Dec 1994,6445
Nov 1994,6343
Oct 1994,6168
Sep 1994,6587
Aug 1994,6679
Jul 1994,6523
Jun 1994,6491
May 1994,6568
Apr 1994,6396
Mar 1994,6009
Feb 1994,5927
Jan 1994,6085
Dec 1993,6212
Nov 1993,6121
Oct 1993,6070
Sep 1993,6148
Aug 1993,6232
Jul 1993,6327
Jun 1993,6278
May 1993,6169
Apr 1993,6152
Mar 1993,6036
Feb 1993,5988
Jan 1993,5944
Dec 1992,6086
Nov 1992,6232
Oct 1992,6146
Sep 1992,6183
Aug 1992,5924
Jul 1992,6248
Jun 1992,6360
May 1992,6145
Apr 1992,6118
Mar 1992,6053
Feb 1992,5523
Jan 1992,5812
Dec 1991,6193
Nov 1991,5929
Oct 1991,5924
Sep 1991,6066
Aug 1991,6255
Jul 1991,6065
Jun 1991,6134
May 1991,5971
Apr 1991,5829
Mar 1991,5795
Feb 1991,5918
Jan 1991,5836
Dec 1990,5828
Nov 1990,5949
Oct 1990,5841
Sep 1990,6182
Aug 1990,6355
Jul 1990,6448
Jun 1990,6286
May 1990,6191
Apr 1990,5938
Mar 1990,5667
Feb 1990,6027
Jan 1990,6007
Dec 1989,5826
Nov 1989,6248
Oct 1989,6252
Sep 1989,6260
Aug 1989,6211
Jul 1989,6237
Jun 1989,6334
May 1989,6388
Apr 1989,6182
Mar 1989,6007
Feb 1989,5802
Jan 1989,6071
Dec 1988,6014
Nov 1988,6018
Oct 1988,6092
Sep 1988,5818
Aug 1988,6144
Jul 1988,6078
Jun 1988,6038
May 1988,6149
Apr 1988,6074
Mar 1988,5979
Feb 1988,5728
Jan 1988,5938
Dec 1987,6124
Nov 1987,6032
Oct 1987,5922
Sep 1987,5933
Aug 1987,5972
Jul 1987,6072
Jun 1987,5974
May 1987,5612
Apr 1987,5377
Mar 1987,5551
Feb 1987,5549
Jan 1987,5925
Dec 1986,5989
Nov 1986,5935
Oct 1986,5760
Sep 1986,6063
Aug 1986,6041
Jul 1986,5807
Jun 1986,6071
May 1986,6223
Apr 1986,5870
Mar 1986,5216
Feb 1986,5606
Jan 1986,5693
Dec 1985,5895
Nov 1985,5722
Oct 1985,5542
Sep 1985,5267
Aug 1985,5234
Jul 1985,5542
Jun 1985,5404
May 1985,5519
Apr 1985,5389
Mar 1985,5160
Feb 1985,5234
Jan 1985,5142
Dec 1984,5222
Nov 1984,5599
Oct 1984,5704
Sep 1984,5547
Aug 1984,5566
Jul 1984,5357
Jun 1984,5375
May 1984,5618
Apr 1984,5687
Mar 1984,5549
Feb 1984,5791
Jan 1984,5436
Dec 1983,5060
Nov 1983,5714
Oct 1983,5547
Sep 1983,5868
Aug 1983,5404
Jul 1983,5628
Jun 1983,5630
May 1983,5497
Apr 1983,5312
Mar 1983,5140
Feb 1983,4727
Jan 1983,5025
Dec 1982,5185
Nov 1982,5488
Oct 1982,5655
Sep 1982,5522
Aug 1982,5375
Jul 1982,5643
Jun 1982,5649
May 1982,5525
Apr 1982,5164
Mar 1982,5065
