Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil Monthly
https://www.eia.gov/opendata/qb.php?sdid=PET.MCRRIP22.M
21:56:10 GMT+0530 (India Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.MCRRIP22.M Thousand Barrels per Day
Mar 2021,3617
Feb 2021,3297
Jan 2021,3628
Dec 2020,3427
Nov 2020,3503
Oct 2020,3432
Sep 2020,3507
Aug 2020,3665
Jul 2020,3594
Jun 2020,3322
May 2020,3091
Apr 2020,2914
Mar 2020,3440
Feb 2020,3753
Jan 2020,3792
Dec 2019,3927
Nov 2019,3823
Oct 2019,3653
Sep 2019,3888
Aug 2019,4106
Jul 2019,4083
Jun 2019,3917
May 2019,3530
Apr 2019,3743
Mar 2019,3535
Feb 2019,3527
Jan 2019,3879
Dec 2018,3931
Nov 2018,3820
Oct 2018,3240
Sep 2018,3647
Aug 2018,3995
Jul 2018,3892
Jun 2018,3979
May 2018,4045
Apr 2018,3905
Mar 2018,3706
Feb 2018,3638
Jan 2018,3736
Dec 2017,3818
Nov 2017,3735
Oct 2017,3411
Sep 2017,3699
Aug 2017,3981
Jul 2017,3859
Jun 2017,3910
May 2017,3819
Apr 2017,3801
Mar 2017,3698
Feb 2017,3628
Jan 2017,3722
Dec 2016,3714
Nov 2016,3674
Oct 2016,3577
Sep 2016,3624
Aug 2016,3746
Jul 2016,3723
Jun 2016,3683
May 2016,3607
Apr 2016,3334
Mar 2016,3409
Feb 2016,3627
Jan 2016,3724
Dec 2015,3661
Nov 2015,3553
Oct 2015,3010
Sep 2015,3483
Aug 2015,3638
Jul 2015,3815
Jun 2015,3705
May 2015,3674
Apr 2015,3700
Mar 2015,3513
Feb 2015,3562
Jan 2015,3429
Dec 2014,3685
Nov 2014,3466
Oct 2014,3283
Sep 2014,3571
Aug 2014,3574
Jul 2014,3717
Jun 2014,3662
May 2014,3594
Apr 2014,3482
Mar 2014,3219
Feb 2014,3538
Jan 2014,3485
Dec 2013,3556
Nov 2013,3569
Oct 2013,3464
Sep 2013,3416
Aug 2013,3532
Jul 2013,3574
Jun 2013,3357
May 2013,3137
Apr 2013,3188
Mar 2013,3270
Feb 2013,3396
Jan 2013,3405
Dec 2012,3445
Nov 2012,3319
Oct 2012,3334
Sep 2012,3372
Aug 2012,3527
Jul 2012,3499
Jun 2012,3466
May 2012,3481
Apr 2012,3527
Mar 2012,3376
Feb 2012,3467
Jan 2012,3492
Dec 2011,3522
Nov 2011,3422
Oct 2011,3344
Sep 2011,3459
Aug 2011,3360
Jul 2011,3478
Jun 2011,3469
May 2011,3309
Apr 2011,3241
Mar 2011,3241
Feb 2011,3306
Jan 2011,3306
Dec 2010,3320
Nov 2010,3244
Oct 2010,3063
Sep 2010,3312
Aug 2010,3434
Jul 2010,3457
Jun 2010,3442
May 2010,3410
Apr 2010,3133
Mar 2010,3084
Feb 2010,3276
Jan 2010,3199
Dec 2009,3152
Nov 2009,3014
Oct 2009,2968
Sep 2009,3175
Aug 2009,3168
Jul 2009,3287
Jun 2009,3298
May 2009,3213
Apr 2009,3108
Mar 2009,2955
Feb 2009,3165
Jan 2009,3126
Dec 2008,3130
Nov 2008,3259
Oct 2008,3191
Sep 2008,3213
Aug 2008,3251
Jul 2008,3284
Jun 2008,3359
May 2008,3376
Apr 2008,3248
Mar 2008,2943
Feb 2008,3188
Jan 2008,3213
Dec 2007,3224
Nov 2007,3106
Oct 2007,3063
Sep 2007,3222
Aug 2007,3308
Jul 2007,3203
Jun 2007,3237
May 2007,3311
Apr 2007,3309
Mar 2007,3217
Feb 2007,3219
Jan 2007,3296
Dec 2006,3300
Nov 2006,3187
Oct 2006,3148
Sep 2006,3326
Aug 2006,3456
Jul 2006,3328
Jun 2006,3457
May 2006,3373
Apr 2006,3252
Mar 2006,3123
Feb 2006,3232
Jan 2006,3372
Dec 2005,3270
Nov 2005,3331
Oct 2005,3304
Sep 2005,3374
Aug 2005,3283
Jul 2005,3385
Jun 2005,3444
May 2005,3453
Apr 2005,3223
Mar 2005,2985
Feb 2005,3221
Jan 2005,3304
Dec 2004,3355
Nov 2004,3320
Oct 2004,3264
Sep 2004,3241
Aug 2004,3380
Jul 2004,3397
Jun 2004,3482
May 2004,3454
Apr 2004,3276
Mar 2004,2891
Feb 2004,3222
Jan 2004,3179
Dec 2003,3052
Nov 2003,3276
Oct 2003,3142
Sep 2003,3104
Aug 2003,3305
Jul 2003,3290
Jun 2003,3429
May 2003,3421
Apr 2003,3211
Mar 2003,3085
Feb 2003,3107
Jan 2003,3118
Dec 2002,3057
Nov 2002,3171
Oct 2002,2943
Sep 2002,3314
Aug 2002,3376
Jul 2002,3405
Jun 2002,3438
May 2002,3319
Apr 2002,3345
Mar 2002,2998
Feb 2002,3101
Jan 2002,3062
Dec 2001,3134
Nov 2001,3009
Oct 2001,3134
Sep 2001,3244
Aug 2001,3370
Jul 2001,3414
Jun 2001,3509
May 2001,3460
Apr 2001,3461
Mar 2001,3240
Feb 2001,3274
Jan 2001,3388
Dec 2000,3330
Nov 2000,3336
Oct 2000,3311
Sep 2000,3483
Aug 2000,3474
Jul 2000,3556
Jun 2000,3637
May 2000,3547
Apr 2000,3405
Mar 2000,3160
Feb 2000,3103
Jan 2000,3132
Dec 1999,3129
Nov 1999,3272
Oct 1999,3295
Sep 1999,3355
Aug 1999,3526
Jul 1999,3470
Jun 1999,3485
May 1999,3478
Apr 1999,3382
Mar 1999,3083
Feb 1999,3241
Jan 1999,3248
Dec 1998,3320
Nov 1998,3342
Oct 1998,3269
Sep 1998,3267
Aug 1998,3489
Jul 1998,3519
Jun 1998,3516
May 1998,3436
Apr 1998,3323
Mar 1998,3225
Feb 1998,3360
Jan 1998,3387
Dec 1997,3379
Nov 1997,3323
Oct 1997,3372
Sep 1997,3513
Aug 1997,3526
Jul 1997,3426
Jun 1997,3517
May 1997,3470
Apr 1997,3113
Mar 1997,3096
Feb 1997,3245
Jan 1997,3212
Dec 1996,3214
Nov 1996,3289
Oct 1996,3242
Sep 1996,3316
Aug 1996,3378
Jul 1996,3359
Jun 1996,3393
May 1996,3298
Apr 1996,3242
Mar 1996,3160
Feb 1996,3057
Jan 1996,3095
Dec 1995,3138
Nov 1995,3113
Oct 1995,3094
Sep 1995,3330
Aug 1995,3271
Jul 1995,3287
Jun 1995,3310
May 1995,3173
Apr 1995,3151
Mar 1995,2903
Feb 1995,3026
Jan 1995,3203
Dec 1994,3138
Nov 1994,3135
Oct 1994,2999
Sep 1994,3257
Aug 1994,3261
Jul 1994,3246
Jun 1994,3309
May 1994,3277
Apr 1994,3256
Mar 1994,2974
Feb 1994,3100
Jan 1994,3000
Dec 1993,3085
Nov 1993,3200
Oct 1993,3196
Sep 1993,3167
Aug 1993,3173
Jul 1993,3241
Jun 1993,3305
May 1993,3144
Apr 1993,3015
Mar 1993,3071
Feb 1993,3008
Jan 1993,3056
Dec 1992,3017
Nov 1992,3087
Oct 1992,3108
Sep 1992,3204
Aug 1992,3253
Jul 1992,3242
Jun 1992,3226
May 1992,3229
Apr 1992,2917
Mar 1992,2978
Feb 1992,3038
Jan 1992,3012
Dec 1991,3063
Nov 1991,2895
Oct 1991,2999
Sep 1991,3202
Aug 1991,3113
Jul 1991,3222
Jun 1991,3191
May 1991,3152
Apr 1991,2980
Mar 1991,2968
Feb 1991,2945
Jan 1991,2844
Dec 1990,2878
Nov 1990,2871
Oct 1990,2906
Sep 1990,3244
Aug 1990,3222
Jul 1990,3218
Jun 1990,3166
May 1990,3001
Apr 1990,2909
Mar 1990,2836
Feb 1990,2969
Jan 1990,2924
Dec 1989,2960
Nov 1989,2768
Oct 1989,2645
Sep 1989,3015
Aug 1989,3103
Jul 1989,3071
Jun 1989,3035
May 1989,2812
Apr 1989,2727
