Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil Monthly
https://www.eia.gov/opendata/qb.php?sdid=PET.MCRRIP42.M
22:15:16 GMT+0530 (India Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.MCRRIP42.M Thousand Barrels per Day
Mar 2021,557
Feb 2021,580
Jan 2021,559
Dec 2020,547
Nov 2020,552
Oct 2020,532
Sep 2020,586
Aug 2020,595
Jul 2020,611
Jun 2020,575
May 2020,486
Apr 2020,441
Mar 2020,551
Feb 2020,623
Jan 2020,623
Dec 2019,646
Nov 2019,591
Oct 2019,544
Sep 2019,639
Aug 2019,692
Jul 2019,687
Jun 2019,677
May 2019,659
Apr 2019,569
Mar 2019,608
Feb 2019,605
Jan 2019,633
Dec 2018,613
Nov 2018,579
Oct 2018,636
Sep 2018,656
Aug 2018,609
Jul 2018,642
Jun 2018,649
May 2018,586
Apr 2018,574
Mar 2018,615
Feb 2018,655
Jan 2018,630
Dec 2017,597
Nov 2017,582
Oct 2017,624
Sep 2017,671
Aug 2017,656
Jul 2017,650
Jun 2017,611
May 2017,617
Apr 2017,648
Mar 2017,606
Feb 2017,590
Jan 2017,613
Dec 2016,602
Nov 2016,626
Oct 2016,592
Sep 2016,644
Aug 2016,612
Jul 2016,631
Jun 2016,647
May 2016,575
Apr 2016,514
Mar 2016,583
Feb 2016,575
Jan 2016,575
Dec 2015,600
Nov 2015,604
Oct 2015,605
Sep 2015,601
Aug 2015,619
Jul 2015,624
Jun 2015,615
May 2015,601
Apr 2015,599
Mar 2015,565
Feb 2015,615
Jan 2015,577
Dec 2014,607
Nov 2014,612
Oct 2014,559
Sep 2014,626
Aug 2014,638
Jul 2014,569
Jun 2014,557
May 2014,594
Apr 2014,562
Mar 2014,567
Feb 2014,510
Jan 2014,569
Dec 2013,574
Nov 2013,580
Oct 2013,574
Sep 2013,587
Aug 2013,615
Jul 2013,584
Jun 2013,587
May 2013,541
Apr 2013,562
Mar 2013,582
Feb 2013,575
Jan 2013,578
Dec 2012,601
Nov 2012,565
Oct 2012,528
Sep 2012,562
Aug 2012,601
Jul 2012,606
Jun 2012,612
May 2012,537
Apr 2012,528
Mar 2012,573
Feb 2012,581
Jan 2012,577
Dec 2011,562
Nov 2011,567
Oct 2011,559
Sep 2011,504
Aug 2011,551
Jul 2011,547
Jun 2011,576
May 2011,567
Apr 2011,494
Mar 2011,533
Feb 2011,553
Jan 2011,525
Dec 2010,527
Nov 2010,548
Oct 2010,536
Sep 2010,595
Aug 2010,543
Jul 2010,572
Jun 2010,572
May 2010,527
Apr 2010,537
Mar 2010,488
Feb 2010,520
Jan 2010,519
