U.S. Refinery and Blender Net Input of Crude Oil Monthly
https://www.eia.gov/opendata/qb.php?sdid=PET.MCRRIUS2.M
22:31:26 GMT+0530 (India Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.MCRRIUS2.M Thousand Barrels per Day
Mar 2021,14383
Feb 2021,12374
Jan 2021,14525
Dec 2020,14140
Nov 2020,14124
Oct 2020,13445
Sep 2020,13573
Aug 2020,14151
Jul 2020,14338
Jun 2020,13732
May 2020,12958
Apr 2020,12786
Mar 2020,15226
Feb 2020,15867
Jan 2020,16231
Dec 2019,16793
Nov 2019,16482
Oct 2019,15681
Sep 2019,16403
Aug 2019,17297
Jul 2019,17175
Jun 2019,17236
May 2019,16719
Apr 2019,16341
Mar 2019,15935
Feb 2019,15846
Jan 2019,16783
Dec 2018,17409
Nov 2018,17162
Oct 2018,16412
Sep 2018,16991
Aug 2018,17623
Jul 2018,17357
Jun 2018,17666
May 2018,16969
Apr 2018,16766
Mar 2018,16665
Feb 2018,15936
Jan 2018,16599
Dec 2017,17274
Nov 2017,16840
Oct 2017,16061
Sep 2017,15460
Aug 2017,16981
Jul 2017,17317
Jun 2017,17204
May 2017,17222
Apr 2017,16954
Mar 2017,16048
Feb 2017,15493
Jan 2017,16118
Dec 2016,16516
Nov 2016,16235
Oct 2016,15454
Sep 2016,16340
Aug 2016,16593
Jul 2016,16621
Jun 2016,16433
May 2016,16237
Apr 2016,15920
Mar 2016,16082
Feb 2016,15843
Jan 2016,15951
Dec 2015,16742
Nov 2015,16458
Oct 2015,15440
Sep 2015,16168
Aug 2015,16700
Jul 2015,16879
Jun 2015,16701
May 2015,16402
Apr 2015,16273
Mar 2015,15640
Feb 2015,15342
Jan 2015,15456
Dec 2014,16469
Nov 2014,16043
Oct 2014,15361
Sep 2014,16074
Aug 2014,16460
Jul 2014,16534
Jun 2014,15817
May 2014,15946
Apr 2014,15864
Mar 2014,15116
Feb 2014,15128
Jan 2014,15311
Dec 2013,16069
Nov 2013,15633
Oct 2013,14991
Sep 2013,15636
Aug 2013,15793
Jul 2013,16042
Jun 2013,15833
May 2013,15305
Apr 2013,14864
Mar 2013,14703
Feb 2013,14230
Jan 2013,14567
Dec 2012,15330
