West Coast (PADD 5) Refinery and Blender Net Input of Crude Oil Monthly
https://www.eia.gov/opendata/qb.php?sdid=PET.MCRRIP52.M
22:19:26 GMT+0530 (India Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.MCRRIP52.M Thousand Barrels per Day
Mar 2021,2020
Feb 2021,1863
Jan 2021,1822
Dec 2020,1823
Nov 2020,1878
Oct 2020,1863
Sep 2020,1932
Aug 2020,1916
Jul 2020,1844
Jun 2020,1752
May 2020,1654
Apr 2020,1667
Mar 2020,2155
Feb 2020,2408
Jan 2020,2257
Dec 2019,2415
Nov 2019,2413
Oct 2019,2414
Sep 2019,2356
Aug 2019,2550
Jul 2019,2511
Jun 2019,2481
May 2019,2382
Apr 2019,2208
Mar 2019,2359
Feb 2019,2348
Jan 2019,2400
Dec 2018,2443
Nov 2018,2504
Oct 2018,2385
Sep 2018,2558
Aug 2018,2601
Jul 2018,2596
Jun 2018,2637
May 2018,2319
Apr 2018,2311
Mar 2018,2554
Feb 2018,2382
Jan 2018,2393
Dec 2017,2523
Nov 2017,2415
Oct 2017,2274
Sep 2017,2548
Aug 2017,2593
Jul 2017,2503
Jun 2017,2373
May 2017,2379
Apr 2017,2519
Mar 2017,2351
Feb 2017,2194
Jan 2017,2346
Dec 2016,2258
Nov 2016,2167
Oct 2016,2086
Sep 2016,2467
Aug 2016,2533
Jul 2016,2486
Jun 2016,2399
May 2016,2306
Apr 2016,2447
Mar 2016,2387
Feb 2016,2279
Jan 2016,2370
Dec 2015,2362
Nov 2015,2433
Oct 2015,2401
Sep 2015,2524
Aug 2015,2563
Jul 2015,2526
Jun 2015,2400
May 2015,2279
Apr 2015,2256
Mar 2015,2312
Feb 2015,2269
Jan 2015,2350
Dec 2014,2497
Nov 2014,2426
Oct 2014,2376
Sep 2014,2364
Aug 2014,2476
Jul 2014,2516
Jun 2014,2328
May 2014,2364
Apr 2014,2405
Mar 2014,2410
Feb 2014,2328
Jan 2014,2327
Dec 2013,2433
Nov 2013,2341
Oct 2013,2408
Sep 2013,2443
Aug 2013,2436
Jul 2013,2369
Jun 2013,2456
May 2013,2319
Apr 2013,2211
Mar 2013,2210
Feb 2013,2269
Jan 2013,2165
Dec 2012,2219
Nov 2012,2228
Oct 2012,2282
Sep 2012,2393
Aug 2012,2489
Jul 2012,2562
Jun 2012,2575
May 2012,2357
Apr 2012,2139
Mar 2012,2131
Feb 2012,2281
Jan 2012,2312
Dec 2011,2340
Nov 2011,2219
Oct 2011,2188
Sep 2011,2505
Aug 2011,2521
Jul 2011,2591
Jun 2011,2459
May 2011,2232
Apr 2011,2309
Mar 2011,2393
Feb 2011,2222
Jan 2011,2166
Dec 2010,2380
Nov 2010,2370
Oct 2010,2333
Sep 2010,2372
Aug 2010,2324
Jul 2010,2435
Jun 2010,2417
May 2010,2338
Apr 2010,2430
Mar 2010,2332
Feb 2010,2265
Jan 2010,2212
Dec 2009,2400
